"By enabling mealvouchers, you will be able to configure your products as 'Food and Drink', 'Home and Garden', or 'Gift and Flowers'. Simply note that the Worldline platform only allows one type of products per basket, and the plugin will automatically update the products of the basket that are missing a product type to the value recognized in the basket; in case of a mixed basket all products will be set to 'Food and Drink'","Door maaltijdcheques in te schakelen, kunt u uw producten configureren als 'Food and Drink', 'Home and Garden', of 'Gift and Flowers'. Houd er rekening mee dat het Worldline-platform slechts één type product per winkelmandje toestaat, en dat de plug-in automatisch de producten van het winkelmandje waarvan een producttype ontbreekt, zal updaten naar de waarde die in het winkelmandje wordt herkend; bij een gemengd mandje worden alle producten ingesteld op 'Food en Drink'"
"Configure your payment option as defined on your Oney 3x4x contract. You can find the value directly from your Oney interface.","Configureer uw betalingsoptie zoals gedefinieerd in uw Oney 3x4x-contract. U kunt de waarde rechtstreeks vanuit uw Oney-interface vinden."
"Group Cards","Groepskaarten"
"Group credit and debit cards under one single button on the checkout page","Groepeer credit- en debitcards onder één enkele knop op de afrekenpagina"
"Please go to an ATM to validate the Multibanco payment.","Ga naar een geldautomaat om de Multibanco-betaling te valideren."
"Process Mealvouchers","Werkwijze Mealvouchers"
"Allowed Number Of Payment Attempts","Toegestaan aantal betalingspogingen"
"Set the number of times a customer can attempt a declined payment on the hosted checkout page. After reaching this retry limit, the transaction will be considered as definitely declined and customer will be redirected back to your store.","Stel het aantal keren in dat een klant een geweigerde betaling kan proberen op de gehoste betaalpagina. Nadat deze limiet voor nieuwe pogingen is bereikt, wordt de transactie als definitief geweigerd beschouwd en wordt de klant teruggestuurd naar uw winkel."
"Enter a value from 1-10. Default value is 10.","Voer een waarde in van 1-10. De standaardwaarde is 10."
"Enter a value from 1-1440. Default value is 180.","Voer een waarde in van 1-1440. De standaardwaarde is 180."
"Session Timeout","Sessietime-out"
"Set in minutes how long the hosted payment page session should last for. Customers attempting to process their payment past this time limit will not be allowed to complete their transaction. Allowed value ranges from 1 minute to 1440 minutes (24 hours). By default, the hosted payment page has a session timeout of 180 minutes. Leave this box empty to use the default session timeout.","Stel in minuten in hoe lang de gehoste betaalpaginasessie moet duren. Klanten die na deze tijdslimiet proberen hun betaling te verwerken, mogen hun transactie niet voltooien. Toegestane waarde varieert van 1 minuut tot 1440 minuten (24 uur). Standaard heeft de gehoste betalingspagina een sessietime-out van 180 minuten. Laat dit vakje leeg als u de standaardsessietime-out wilt gebruiken."
"Direct Debit Recurrence Type","Type herhaling van automatische incasso"
"Direct Debit Signature Type","Handtekeningtype automatische incasso"
"Oney3x4x payment option","Oney3x4x betalingsoptie"
"Select which modes of bank transfer you want to allow.'Instant Payments Only' : Receive transfer confirmation within 20 minutes. Limits customer bank choices to only those supporting instant payments.'Standard & Instant Payments' : Accept transfers from all banks. Broader customer bank choice but it can take up to 96 hours for transfer confirmation.","Selecteer welke vormen van bankoverschrijving u wilt toestaan. 'Instant Payments Only': ontvang binnen 20 minuten een overdrachtsbevestiging. Beperkt de bankkeuzes van klanten tot alleen de banken die directe betalingen ondersteunen. 'Standard & Instant Payments': accepteer overschrijvingen van alle banken. Ruimere bankkeuze voor klanten, maar het kan tot 96 uur duren voordat de overboeking wordt bevestigd."
